,driver,lap,trackStatus,position,grid,performance,trackTemp,airTemp,raining,tyre,tyreLap,track,team,driverPrev,teamPrev,driverNext,teamNext
340,9,1,0,1,1,0,38.8,24.2,0.0,3,3,9,8,9,8,22,4
816,22,1,0,2,2,0,38.8,24.2,0.0,3,3,9,4,9,8,31,4
1292,31,1,0,3,3,0,38.2,24.2,0.0,3,3,9,4,22,4,16,6
612,16,1,0,4,4,0,36.7,23.9,0.0,3,3,9,6,31,4,30,10
1224,30,1,0,5,5,0,36.7,23.9,0.0,2,3,9,10,16,6,8,6
272,8,1,0,6,6,0,38.9,24.2,0.0,3,3,9,6,30,10,11,11
476,11,1,0,7,7,0,37.1,24.1,0.0,3,3,9,11,8,6,23,10
884,23,1,0,8,8,0,38.9,24.2,0.0,2,3,9,10,11,11,25,11
952,25,1,0,9,9,0,38.2,24.2,0.0,3,3,9,11,23,10,2,7
0,2,1,0,10,10,0,38.8,24.2,0.0,3,0,9,7,25,11,29,7
1156,29,1,0,11,11,0,38.9,24.2,0.0,3,0,9,7,2,7,21,5
748,21,1,0,12,12,0,38.9,24.2,0.0,3,0,9,5,29,7,20,5
680,20,1,0,13,13,0,38.8,24.2,0.0,3,0,9,5,21,5,27,14
1088,27,1,0,14,14,0,38.8,24.2,0.0,2,0,9,14,20,5,3,8
68,3,1,0,15,15,0,38.9,24.2,0.0,3,3,9,8,27,14,4,12
136,4,1,0,16,16,0,36.6,23.9,0.0,2,0,9,12,3,8,6,13
204,6,1,0,17,17,0,36.4,23.5,0.0,3,0,9,13,4,12,15,12
544,15,1,0,18,18,0,38.8,24.2,0.0,2,0,9,12,6,13,26,14
1020,26,1,0,19,19,0,37.9,23.9,0.0,2,0,9,14,15,12,10,13
408,10,1,0,20,20,0,38.8,24.2,0.0,2,0,9,13,26,14,9,8
341,9,2,0,1,1,0,36.7,23.9,0.0,3,4,9,8,9,8,22,4
817,22,2,0,2,2,0,36.7,23.9,0.0,3,4,9,4,9,8,31,4
1293,31,2,0,3,3,0,36.8,23.9,0.0,3,4,9,4,22,4,16,6
613,16,2,0,4,4,0,36.4,23.5,0.0,3,4,9,6,31,4,30,10
1225,30,2,0,5,5,0,36.8,23.9,0.0,2,4,9,10,16,6,8,6
273,8,2,0,6,6,0,37.1,24.1,0.0,3,4,9,6,30,10,11,11
477,11,2,0,7,7,0,36.7,23.9,0.0,3,4,9,11,8,6,23,10
885,23,2,0,8,8,0,36.6,23.8,0.0,2,4,9,10,11,11,25,11
953,25,2,0,9,9,0,37.1,24.1,0.0,3,4,9,11,23,10,2,7
1,2,2,0,10,10,0,38.9,24.2,0.0,3,1,9,7,25,11,29,7
1157,29,2,0,11,11,0,38.2,24.2,0.0,3,1,9,7,2,7,21,5
749,21,2,0,12,12,0,36.7,23.9,0.0,3,1,9,5,29,7,20,5
681,20,2,0,13,13,0,38.2,24.2,0.0,3,1,9,5,21,5,27,14
1089,27,2,0,14,14,0,38.9,24.2,0.0,2,1,9,14,20,5,3,8
69,3,2,0,15,15,0,37.1,24.1,0.0,3,4,9,8,27,14,4,12
137,4,2,0,16,16,0,36.5,24.1,0.0,2,1,9,12,3,8,6,13
205,6,2,0,17,17,0,36.3,23.9,0.0,3,1,9,13,4,12,15,12
545,15,2,0,18,18,0,38.2,24.2,0.0,2,1,9,12,6,13,26,14
1021,26,2,0,19,19,0,36.2,23.9,0.0,2,1,9,14,15,12,10,13
409,10,2,0,20,20,0,38.9,24.2,0.0,0,0,9,13,26,14,9,8
342,9,3,0,1,1,0,36.8,23.9,0.0,3,5,9,8,9,8,22,4
818,22,3,0,2,2,0,36.6,23.8,0.0,3,5,9,4,9,8,31,4
1294,31,3,0,3,3,0,36.6,23.8,0.0,3,5,9,4,22,4,16,6
614,16,3,0,4,4,0,36.4,23.5,0.0,3,5,9,6,31,4,30,10
1226,30,3,0,5,5,0,36.6,23.8,0.0,2,5,9,10,16,6,8,6
274,8,3,0,6,6,0,36.6,23.8,0.0,3,5,9,6,30,10,11,11
478,11,3,0,7,7,0,36.8,23.9,0.0,3,5,9,11,8,6,23,10
886,23,3,0,8,8,0,36.4,23.5,0.0,2,5,9,10,11,11,25,11
954,25,3,0,9,9,0,36.7,23.9,0.0,3,5,9,11,23,10,2,7
2,2,3,0,10,10,0,38.2,24.2,0.0,3,2,9,7,25,11,29,7
1158,29,3,0,11,11,0,37.1,24.1,0.0,3,2,9,7,2,7,21,5
750,21,3,0,12,12,0,36.6,23.8,0.0,3,2,9,5,29,7,20,5
682,20,3,0,13,13,0,36.8,23.9,0.0,3,2,9,5,21,5,27,14
1090,27,3,0,14,14,0,37.1,24.1,0.0,2,2,9,14,20,5,3,8
70,3,3,0,15,15,0,36.7,23.9,0.0,3,5,9,8,27,14,4,12
138,4,3,0,16,16,0,33.4,24.2,0.0,2,2,9,12,3,8,6,13
206,6,3,0,17,17,0,37.2,23.7,0.0,3,2,9,13,4,12,15,12
546,15,3,0,18,18,0,36.8,23.9,0.0,2,2,9,12,6,13,26,14
1022,26,3,0,19,19,0,38.4,24.3,0.0,2,2,9,14,15,12,10,13
410,10,3,0,20,20,0,37.1,24.1,0.0,0,1,9,13,26,14,9,8
343,9,4,0,1,1,0,36.8,23.9,0.0,3,6,9,8,4,4,9,4
819,22,4,0,2,2,0,36.6,23.8,0.0,3,6,9,4,4,4,9,4
1295,31,4,0,3,3,0,36.6,23.8,0.0,3,6,9,4,6,6,22,6
615,16,4,0,4,4,0,36.4,23.5,0.0,3,6,9,6,10,10,31,10
1227,30,4,0,5,5,0,36.6,23.8,0.0,2,6,9,10,6,6,16,6
275,8,4,0,6,6,0,36.6,23.8,0.0,3,6,9,6,11,11,30,11
479,11,4,0,7,7,0,36.8,23.9,0.0,3,6,9,11,10,10,8,10
887,23,4,0,8,8,0,36.4,23.5,0.0,2,6,9,10,11,11,11,11
955,25,4,0,9,9,0,36.7,23.9,0.0,3,6,9,11,7,7,23,7
3,2,4,0,10,10,0,38.2,24.2,0.0,3,3,9,7,7,7,25,7
1159,29,4,0,11,11,0,37.1,24.1,0.0,3,3,9,7,5,5,2,5
751,21,4,0,12,12,0,36.6,23.8,0.0,3,3,9,5,5,5,29,5
683,20,4,0,13,13,0,36.8,23.9,0.0,3,3,9,5,14,14,21,14
1091,27,4,0,14,14,0,37.1,24.1,0.0,2,3,9,14,8,8,20,8
71,3,4,0,15,15,0,36.7,23.9,0.0,3,6,9,8,12,12,27,12
139,4,4,0,16,16,0,33.4,24.2,0.0,2,3,9,12,13,13,3,13
207,6,4,0,17,17,0,37.2,23.7,0.0,3,3,9,13,12,12,4,12
547,15,4,0,18,18,0,36.8,23.9,0.0,2,3,9,12,14,14,6,14
1023,26,4,0,19,19,0,38.4,24.3,0.0,2,3,9,14,13,13,15,13
411,10,4,0,20,20,0,37.1,24.1,0.0,0,2,9,13,8,8,26,8
344,9,5,0,1,1,0,36.8,23.9,0.0,3,7,9,8,4,4,9,4
820,22,5,0,2,2,0,36.6,23.8,0.0,3,7,9,4,4,4,9,4
1296,31,5,0,3,3,0,36.6,23.8,0.0,3,7,9,4,6,6,22,6
616,16,5,0,4,4,0,36.4,23.5,0.0,3,7,9,6,10,10,31,10
1228,30,5,0,5,5,0,36.6,23.8,0.0,2,7,9,10,6,6,16,6
276,8,5,0,6,6,0,36.6,23.8,0.0,3,7,9,6,11,11,30,11
480,11,5,0,7,7,0,36.8,23.9,0.0,3,7,9,11,10,10,8,10
888,23,5,0,8,8,0,36.4,23.5,0.0,2,7,9,10,11,11,11,11
956,25,5,0,9,9,0,36.7,23.9,0.0,3,7,9,11,7,7,23,7
4,2,5,0,10,10,0,38.2,24.2,0.0,3,4,9,7,7,7,25,7
1160,29,5,0,11,11,0,37.1,24.1,0.0,3,4,9,7,5,5,2,5
752,21,5,0,12,12,0,36.6,23.8,0.0,3,4,9,5,5,5,29,5
684,20,5,0,13,13,0,36.8,23.9,0.0,3,4,9,5,14,14,21,14
1092,27,5,0,14,14,0,37.1,24.1,0.0,2,4,9,14,8,8,20,8
72,3,5,0,15,15,0,36.7,23.9,0.0,3,7,9,8,12,12,27,12
140,4,5,0,16,16,0,33.4,24.2,0.0,2,4,9,12,13,13,3,13
208,6,5,0,17,17,0,37.2,23.7,0.0,3,4,9,13,12,12,4,12
548,15,5,0,18,18,0,36.8,23.9,0.0,2,4,9,12,14,14,6,14
1024,26,5,0,19,19,0,38.4,24.3,0.0,2,4,9,14,13,13,15,13
412,10,5,0,20,20,0,37.1,24.1,0.0,0,3,9,13,8,8,26,8
345,9,6,0,1,1,0,36.8,23.9,0.0,3,8,9,8,4,4,9,4
821,22,6,0,2,2,0,36.6,23.8,0.0,3,8,9,4,4,4,9,4
1297,31,6,0,3,3,0,36.6,23.8,0.0,3,8,9,4,6,6,22,6
617,16,6,0,4,4,0,36.4,23.5,0.0,3,8,9,6,10,10,31,10
1229,30,6,0,5,5,0,36.6,23.8,0.0,2,8,9,10,6,6,16,6
277,8,6,0,6,6,0,36.6,23.8,0.0,3,8,9,6,11,11,30,11
481,11,6,0,7,7,0,36.8,23.9,0.0,3,8,9,11,10,10,8,10
889,23,6,0,8,8,0,36.4,23.5,0.0,2,8,9,10,11,11,11,11
957,25,6,0,9,9,0,36.7,23.9,0.0,3,8,9,11,7,7,23,7
5,2,6,0,10,10,0,38.2,24.2,0.0,3,5,9,7,7,7,25,7
1161,29,6,0,11,11,0,37.1,24.1,0.0,3,5,9,7,5,5,2,5
753,21,6,0,12,12,0,36.6,23.8,0.0,3,5,9,5,5,5,29,5
685,20,6,0,13,13,0,36.8,23.9,0.0,3,5,9,5,14,14,21,14
1093,27,6,0,14,14,0,37.1,24.1,0.0,2,5,9,14,8,8,20,8
73,3,6,0,15,15,0,36.7,23.9,0.0,3,8,9,8,12,12,27,12
141,4,6,0,16,16,0,33.4,24.2,0.0,2,5,9,12,13,13,3,13
209,6,6,0,17,17,0,37.2,23.7,0.0,3,5,9,13,12,12,4,12
549,15,6,0,18,18,0,36.8,23.9,0.0,2,5,9,12,14,14,6,14
1025,26,6,0,19,19,0,38.4,24.3,0.0,2,5,9,14,13,13,15,13
413,10,6,0,20,20,0,37.1,24.1,0.0,0,4,9,13,8,8,26,8
346,9,7,0,1,1,0,36.8,23.9,0.0,3,9,9,8,4,4,9,4
822,22,7,0,2,2,0,36.6,23.8,0.0,3,9,9,4,4,4,9,4
1298,31,7,0,3,3,0,36.6,23.8,0.0,3,9,9,4,6,6,22,6
618,16,7,0,4,4,0,36.4,23.5,0.0,3,9,9,6,10,10,31,10
1230,30,7,0,5,5,0,36.6,23.8,0.0,2,9,9,10,6,6,16,6
278,8,7,0,6,6,0,36.6,23.8,0.0,3,9,9,6,11,11,30,11
482,11,7,0,7,7,0,36.8,23.9,0.0,3,9,9,11,10,10,8,10
890,23,7,0,8,8,0,36.4,23.5,0.0,2,9,9,10,11,11,11,11
958,25,7,0,9,9,0,36.7,23.9,0.0,3,9,9,11,7,7,23,7
6,2,7,0,10,10,0,38.2,24.2,0.0,3,6,9,7,7,7,25,7
1162,29,7,0,11,11,0,37.1,24.1,0.0,3,6,9,7,5,5,2,5
754,21,7,0,12,12,0,36.6,23.8,0.0,3,6,9,5,5,5,29,5
686,20,7,0,13,13,0,36.8,23.9,0.0,3,6,9,5,14,14,21,14
1094,27,7,0,14,14,0,37.1,24.1,0.0,2,6,9,14,8,8,20,8
74,3,7,0,15,15,0,36.7,23.9,0.0,3,9,9,8,12,12,27,12
142,4,7,0,16,16,0,33.4,24.2,0.0,2,6,9,12,13,13,3,13
210,6,7,0,17,17,0,37.2,23.7,0.0,3,6,9,13,12,12,4,12
550,15,7,0,18,18,0,36.8,23.9,0.0,2,6,9,12,14,14,6,14
1026,26,7,0,19,19,0,38.4,24.3,0.0,2,6,9,14,13,13,15,13
414,10,7,0,20,20,0,37.1,24.1,0.0,0,5,9,13,8,8,26,8
347,9,8,0,1,1,0,36.8,23.9,0.0,3,10,9,8,4,4,9,4
823,22,8,0,2,2,0,36.6,23.8,0.0,3,10,9,4,4,4,9,4
1299,31,8,0,3,3,0,36.6,23.8,0.0,3,10,9,4,6,6,22,6
619,16,8,0,4,4,0,36.4,23.5,0.0,3,10,9,6,10,10,31,10
1231,30,8,0,5,5,0,36.6,23.8,0.0,2,10,9,10,6,6,16,6
279,8,8,0,6,6,0,36.6,23.8,0.0,3,10,9,6,11,11,30,11
483,11,8,0,7,7,0,36.8,23.9,0.0,3,10,9,11,10,10,8,10
891,23,8,0,8,8,0,36.4,23.5,0.0,2,10,9,10,11,11,11,11
959,25,8,0,9,9,0,36.7,23.9,0.0,3,10,9,11,7,7,23,7
7,2,8,0,10,10,0,38.2,24.2,0.0,3,7,9,7,7,7,25,7
1163,29,8,0,11,11,0,37.1,24.1,0.0,3,7,9,7,5,5,2,5
755,21,8,0,12,12,0,36.6,23.8,0.0,3,7,9,5,5,5,29,5
687,20,8,0,13,13,0,36.8,23.9,0.0,3,7,9,5,14,14,21,14
1095,27,8,0,14,14,0,37.1,24.1,0.0,2,7,9,14,8,8,20,8
75,3,8,0,15,15,0,36.7,23.9,0.0,3,10,9,8,12,12,27,12
143,4,8,0,16,16,0,33.4,24.2,0.0,2,7,9,12,13,13,3,13
211,6,8,0,17,17,0,37.2,23.7,0.0,3,7,9,13,12,12,4,12
551,15,8,0,18,18,0,36.8,23.9,0.0,2,7,9,12,14,14,6,14
1027,26,8,0,19,19,0,38.4,24.3,0.0,2,7,9,14,13,13,15,13
415,10,8,0,20,20,0,37.1,24.1,0.0,0,6,9,13,8,8,26,8
348,9,9,0,1,1,0,36.8,23.9,0.0,3,11,9,8,4,4,9,4
824,22,9,0,2,2,0,36.6,23.8,0.0,3,11,9,4,4,4,9,4
1300,31,9,0,3,3,0,36.6,23.8,0.0,3,11,9,4,6,6,22,6
620,16,9,0,4,4,0,36.4,23.5,0.0,3,11,9,6,10,10,31,10
1232,30,9,0,5,5,0,36.6,23.8,0.0,2,11,9,10,6,6,16,6
280,8,9,0,6,6,0,36.6,23.8,0.0,3,11,9,6,11,11,30,11
484,11,9,0,7,7,0,36.8,23.9,0.0,3,11,9,11,10,10,8,10
892,23,9,0,8,8,0,36.4,23.5,0.0,2,11,9,10,11,11,11,11
960,25,9,0,9,9,0,36.7,23.9,0.0,3,11,9,11,7,7,23,7
8,2,9,0,10,10,0,38.2,24.2,0.0,3,8,9,7,7,7,25,7
1164,29,9,0,11,11,0,37.1,24.1,0.0,3,8,9,7,5,5,2,5
756,21,9,0,12,12,0,36.6,23.8,0.0,3,8,9,5,5,5,29,5
688,20,9,0,13,13,0,36.8,23.9,0.0,3,8,9,5,14,14,21,14
1096,27,9,0,14,14,0,37.1,24.1,0.0,2,8,9,14,8,8,20,8
76,3,9,0,15,15,0,36.7,23.9,0.0,3,11,9,8,12,12,27,12
144,4,9,0,16,16,0,33.4,24.2,0.0,2,8,9,12,13,13,3,13
212,6,9,0,17,17,0,37.2,23.7,0.0,3,8,9,13,12,12,4,12
552,15,9,0,18,18,0,36.8,23.9,0.0,2,8,9,12,14,14,6,14
1028,26,9,0,19,19,0,38.4,24.3,0.0,2,8,9,14,13,13,15,13
416,10,9,0,20,20,0,37.1,24.1,0.0,0,7,9,13,8,8,26,8
349,9,10,0,1,1,0,36.8,23.9,0.0,3,12,9,8,4,4,9,4
825,22,10,0,2,2,0,36.6,23.8,0.0,3,12,9,4,4,4,9,4
1301,31,10,0,3,3,0,36.6,23.8,0.0,3,12,9,4,6,6,22,6
621,16,10,0,4,4,0,36.4,23.5,0.0,3,12,9,6,10,10,31,10
1233,30,10,0,5,5,0,36.6,23.8,0.0,2,12,9,10,6,6,16,6
281,8,10,0,6,6,0,36.6,23.8,0.0,3,12,9,6,11,11,30,11
485,11,10,0,7,7,0,36.8,23.9,0.0,3,12,9,11,10,10,8,10
893,23,10,0,8,8,0,36.4,23.5,0.0,2,12,9,10,11,11,11,11
961,25,10,0,9,9,0,36.7,23.9,0.0,3,12,9,11,7,7,23,7
9,2,10,0,10,10,0,38.2,24.2,0.0,3,9,9,7,7,7,25,7
1165,29,10,0,11,11,0,37.1,24.1,0.0,3,9,9,7,5,5,2,5
757,21,10,0,12,12,0,36.6,23.8,0.0,3,9,9,5,5,5,29,5
689,20,10,0,13,13,0,36.8,23.9,0.0,3,9,9,5,14,14,21,14
1097,27,10,0,14,14,0,37.1,24.1,0.0,2,9,9,14,8,8,20,8
77,3,10,0,15,15,0,36.7,23.9,0.0,3,12,9,8,12,12,27,12
145,4,10,0,16,16,0,33.4,24.2,0.0,2,9,9,12,13,13,3,13
213,6,10,0,17,17,0,37.2,23.7,0.0,3,9,9,13,12,12,4,12
553,15,10,0,18,18,0,36.8,23.9,0.0,2,9,9,12,14,14,6,14
1029,26,10,0,19,19,0,38.4,24.3,0.0,2,9,9,14,13,13,15,13
417,10,10,0,20,20,0,37.1,24.1,0.0,0,8,9,13,8,8,26,8
350,9,11,0,1,1,0,36.8,23.9,0.0,3,13,9,8,4,4,9,4
826,22,11,0,2,2,0,36.6,23.8,0.0,3,13,9,4,4,4,9,4
1302,31,11,0,3,3,0,36.6,23.8,0.0,3,13,9,4,6,6,22,6
622,16,11,0,4,4,0,36.4,23.5,0.0,3,13,9,6,10,10,31,10
1234,30,11,0,5,5,0,36.6,23.8,0.0,2,13,9,10,6,6,16,6
282,8,11,0,6,6,0,36.6,23.8,0.0,3,13,9,6,11,11,30,11
486,11,11,0,7,7,0,36.8,23.9,0.0,3,13,9,11,10,10,8,10
894,23,11,0,8,8,0,36.4,23.5,0.0,2,13,9,10,11,11,11,11
962,25,11,0,9,9,0,36.7,23.9,0.0,3,13,9,11,7,7,23,7
10,2,11,0,10,10,0,38.2,24.2,0.0,3,10,9,7,7,7,25,7
1166,29,11,0,11,11,0,37.1,24.1,0.0,3,10,9,7,5,5,2,5
758,21,11,0,12,12,0,36.6,23.8,0.0,3,10,9,5,5,5,29,5
690,20,11,0,13,13,0,36.8,23.9,0.0,3,10,9,5,14,14,21,14
1098,27,11,0,14,14,0,37.1,24.1,0.0,2,10,9,14,8,8,20,8
78,3,11,0,15,15,0,36.7,23.9,0.0,3,13,9,8,12,12,27,12
146,4,11,0,16,16,0,33.4,24.2,0.0,2,10,9,12,13,13,3,13
214,6,11,0,17,17,0,37.2,23.7,0.0,3,10,9,13,12,12,4,12
554,15,11,0,18,18,0,36.8,23.9,0.0,2,10,9,12,14,14,6,14
1030,26,11,0,19,19,0,38.4,24.3,0.0,2,10,9,14,13,13,15,13
418,10,11,0,20,20,0,37.1,24.1,0.0,0,9,9,13,8,8,26,8
351,9,12,0,1,1,0,36.8,23.9,0.0,3,14,9,8,4,4,9,4
827,22,12,0,2,2,0,36.6,23.8,0.0,3,14,9,4,4,4,9,4
1303,31,12,0,3,3,0,36.6,23.8,0.0,3,14,9,4,6,6,22,6
623,16,12,0,4,4,0,36.4,23.5,0.0,3,14,9,6,10,10,31,10
1235,30,12,0,5,5,0,36.6,23.8,0.0,2,14,9,10,6,6,16,6
283,8,12,0,6,6,0,36.6,23.8,0.0,3,14,9,6,11,11,30,11
487,11,12,0,7,7,0,36.8,23.9,0.0,3,14,9,11,10,10,8,10
895,23,12,0,8,8,0,36.4,23.5,0.0,2,14,9,10,11,11,11,11
963,25,12,0,9,9,0,36.7,23.9,0.0,3,14,9,11,7,7,23,7
11,2,12,0,10,10,0,38.2,24.2,0.0,3,11,9,7,7,7,25,7
1167,29,12,0,11,11,0,37.1,24.1,0.0,3,11,9,7,5,5,2,5
759,21,12,0,12,12,0,36.6,23.8,0.0,3,11,9,5,5,5,29,5
691,20,12,0,13,13,0,36.8,23.9,0.0,3,11,9,5,14,14,21,14
1099,27,12,0,14,14,0,37.1,24.1,0.0,2,11,9,14,8,8,20,8
79,3,12,0,15,15,0,36.7,23.9,0.0,3,14,9,8,12,12,27,12
147,4,12,0,16,16,0,33.4,24.2,0.0,2,11,9,12,13,13,3,13
215,6,12,0,17,17,0,37.2,23.7,0.0,3,11,9,13,12,12,4,12
555,15,12,0,18,18,0,36.8,23.9,0.0,2,11,9,12,14,14,6,14
1031,26,12,0,19,19,0,38.4,24.3,0.0,2,11,9,14,13,13,15,13
419,10,12,0,20,20,0,37.1,24.1,0.0,0,10,9,13,8,8,26,8
352,9,13,0,1,1,0,36.8,23.9,0.0,3,15,9,8,4,4,9,4
828,22,13,0,2,2,0,36.6,23.8,0.0,3,15,9,4,4,4,9,4
1304,31,13,0,3,3,0,36.6,23.8,0.0,3,15,9,4,6,6,22,6
624,16,13,0,4,4,0,36.4,23.5,0.0,3,15,9,6,10,10,31,10
1236,30,13,0,5,5,0,36.6,23.8,0.0,2,15,9,10,6,6,16,6
284,8,13,0,6,6,0,36.6,23.8,0.0,3,15,9,6,11,11,30,11
488,11,13,0,7,7,0,36.8,23.9,0.0,3,15,9,11,10,10,8,10
896,23,13,0,8,8,0,36.4,23.5,0.0,2,15,9,10,11,11,11,11
964,25,13,0,9,9,0,36.7,23.9,0.0,3,15,9,11,7,7,23,7
12,2,13,0,10,10,0,38.2,24.2,0.0,3,12,9,7,7,7,25,7
1168,29,13,0,11,11,0,37.1,24.1,0.0,3,12,9,7,5,5,2,5
760,21,13,0,12,12,0,36.6,23.8,0.0,3,12,9,5,5,5,29,5
692,20,13,0,13,13,0,36.8,23.9,0.0,3,12,9,5,14,14,21,14
1100,27,13,0,14,14,0,37.1,24.1,0.0,2,12,9,14,8,8,20,8
80,3,13,0,15,15,0,36.7,23.9,0.0,3,15,9,8,12,12,27,12
148,4,13,0,16,16,0,33.4,24.2,0.0,2,12,9,12,13,13,3,13
216,6,13,0,17,17,0,37.2,23.7,0.0,3,12,9,13,12,12,4,12
556,15,13,0,18,18,0,36.8,23.9,0.0,2,12,9,12,14,14,6,14
1032,26,13,0,19,19,0,38.4,24.3,0.0,2,12,9,14,13,13,15,13
420,10,13,0,20,20,0,37.1,24.1,0.0,0,11,9,13,8,8,26,8
353,9,14,0,1,1,0,36.8,23.9,0.0,3,16,9,8,4,4,9,4
829,22,14,0,2,2,0,36.6,23.8,0.0,3,16,9,4,4,4,9,4
1305,31,14,0,3,3,0,36.6,23.8,0.0,3,16,9,4,6,6,22,6
625,16,14,0,4,4,0,36.4,23.5,0.0,3,16,9,6,10,10,31,10
1237,30,14,0,5,5,0,36.6,23.8,0.0,2,16,9,10,6,6,16,6
285,8,14,0,6,6,0,36.6,23.8,0.0,3,16,9,6,11,11,30,11
489,11,14,0,7,7,0,36.8,23.9,0.0,3,16,9,11,10,10,8,10
897,23,14,0,8,8,0,36.4,23.5,0.0,2,16,9,10,11,11,11,11
965,25,14,0,9,9,0,36.7,23.9,0.0,3,16,9,11,7,7,23,7
13,2,14,0,10,10,0,38.2,24.2,0.0,3,13,9,7,7,7,25,7
1169,29,14,0,11,11,0,37.1,24.1,0.0,3,13,9,7,5,5,2,5
761,21,14,0,12,12,0,36.6,23.8,0.0,3,13,9,5,5,5,29,5
693,20,14,0,13,13,0,36.8,23.9,0.0,3,13,9,5,14,14,21,14
1101,27,14,0,14,14,0,37.1,24.1,0.0,2,13,9,14,8,8,20,8
81,3,14,0,15,15,0,36.7,23.9,0.0,3,16,9,8,12,12,27,12
149,4,14,0,16,16,0,33.4,24.2,0.0,2,13,9,12,13,13,3,13
217,6,14,0,17,17,0,37.2,23.7,0.0,3,13,9,13,12,12,4,12
557,15,14,0,18,18,0,36.8,23.9,0.0,2,13,9,12,14,14,6,14
1033,26,14,0,19,19,0,38.4,24.3,0.0,2,13,9,14,13,13,15,13
